scenario,strategy,expected_npv,capital_used,capital_limit,capital_usage_pct,offered_increases,offered_customers,mix_prime,mix_near,mix_sub
base,lp_relax,322501.0454985501,24772793.400000006,24772793.4,1.0000000000000002,18769.011238562227,18770,0.3340080050205259,0.5523472231324837,0.11364477184699025
base,lp_round,322500.90830491413,24772767.535846405,24772793.4,0.9999989559452107,18769.0,18769,0.33400820501891415,0.5523469550855133,0.11364483989557249
base,greedy,322500.90830491413,24772767.535846405,24772793.4,0.9999989559452107,18769.0,18769,0.33400820501891415,0.5523469550855133,0.11364483989557249
stress,lp_relax,285586.9366903795,24772793.399999987,24772793.4,0.9999999999999996,21038.304729653446,21039,0.2979802831339284,0.5885600046566781,0.11345971220939338
stress,lp_round,285584.3365367119,24772126.74100169,24772793.4,0.9999730890663987,21038.0,21038,0.29798459929651105,0.5885540450613176,0.11346135564217132
stress,greedy,285584.3365367119,24772126.74100169,24772793.4,0.9999730890663987,21038.0,21038,0.29798459929651105,0.5885540450613176,0.11346135564217132
benign,lp_relax,341400.4786601004,24772793.399999965,24772793.4,0.9999999999999987,17684.646559391695,17685,0.35448828332227844,0.5319668972629606,0.11354481941476074
benign,lp_round,341399.0701509155,24772564.60698266,24772793.4,0.9999907643432194,17685.0,17685,0.3544811987560079,0.5319197059655075,0.1135990952784846
benign,greedy,341399.0701509155,24772564.60698266,24772793.4,0.9999907643432194,17685.0,17685,0.3544811987560079,0.5319197059655075,0.1135990952784846
